Name,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,BIP,BABIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,좌%,좌중%,중%,우중%,우%,당%,밀%,좌,좌중,중,우중,우,당,밀,좌_안타,좌중_안타,중_안타,우중_안타,우_안타,당_안타,밀_안타,좌_안타비율,좌중안타비율,중안타비율,우중안타비율,우안타비율,당안타비율,밀안타비율
김호준,12,1,11,4,0,0,1,2,0,0,11.2,8,9,8.30,54,17,4,0,1,2,3,0,6,0,0,0,6.17,6.94,6.40,6.28,5.26,1.63,0.06,40,0.400,41.9,4.7,46.5,51.2,7.0,0.8,4.5,11.8,12.2,24.4,19.5,26.8,17.1,67.6,32.4,5,10,8,11,7,23,11,2,6,3,3,2,8,6,0.400,0.600,0.375,0.273,0.286,0.348,0.545
나균안,12,12,0,0,0,0,1,7,0,0,54.0,49,52,49.75,277,83,12,0,10,33,4,0,50,1,0,7,8.17,8.67,8.29,8.14,6.21,2.15,-0.07,177,0.412,50.0,4.2,41.6,45.8,4.2,1.1,11.5,6.0,23.9,17.6,11.7,18.6,28.2,66.5,33.5,45,33,22,35,53,111,56,25,11,11,9,26,51,21,0.556,0.333,0.500,0.257,0.491,0.459,0.375
이호성,12,10,2,0,0,0,2,4,0,0,38.1,30,31,30.50,183,52,11,1,7,18,2,0,26,0,0,3,7.04,7.28,7.16,6.87,6.30,1.83,-0.05,127,0.354,32.8,5.8,57.7,63.5,3.6,0.5,8.0,9.6,20.6,14.7,22.1,21.3,21.3,65.1,34.9,28,20,30,29,29,69,37,13,7,13,6,13,28,11,0.464,0.350,0.433,0.207,0.448,0.406,0.297
최원태,12,12,0,0,0,0,6,3,0,0,66.1,28,30,27.75,289,58,7,0,6,35,3,0,58,3,0,5,3.80,4.07,3.77,3.92,4.87,1.40,1.95,184,0.283,49.7,5.2,40.4,45.6,4.7,1.1,6.8,10.3,20.8,19.3,13.0,24.5,22.4,59.3,40.7,40,37,25,47,43,99,68,17,8,12,8,13,32,14,0.425,0.216,0.480,0.170,0.302,0.323,0.206
브랜든,12,12,0,0,0,0,6,4,0,0,67.0,24,32,30.45,284,69,9,2,3,10,3,0,66,9,0,2,3.22,4.30,4.09,4.29,2.87,1.18,1.89,198,0.333,57.1,3.4,37.1,40.5,2.4,1.4,3.6,13.0,23.8,20.3,22.3,18.3,15.3,64.3,35.7,48,41,45,37,31,101,56,19,12,16,8,13,28,24,0.396,0.293,0.356,0.216,0.419,0.277,0.429
이교훈,12,0,12,4,0,0,0,0,0,0,12.1,11,14,13.65,58,12,1,1,3,10,0,0,11,1,0,0,8.03,10.22,9.96,10.66,7.38,1.78,-0.11,34,0.265,37.8,2.7,54.1,56.8,5.4,0.7,14.3,0.0,24.3,29.7,18.9,13.5,13.5,56.7,43.3,9,11,7,5,5,17,13,5,3,1,2,1,7,4,0.556,0.273,0.143,0.400,0.200,0.412,0.308
임찬규,12,11,1,0,0,0,3,3,0,1,59.2,30,31,29.10,264,72,20,1,7,21,2,1,59,0,0,1,4.53,4.68,4.39,4.56,4.27,1.56,1.43,174,0.374,45.1,2.2,48.4,50.5,4.4,0.9,7.6,5.6,23.8,14.4,17.7,24.9,19.3,66.4,33.6,43,26,32,45,35,99,50,19,7,18,14,14,42,12,0.442,0.269,0.563,0.311,0.400,0.424,0.240
문동주,11,11,0,0,0,0,3,4,0,0,56.1,41,44,42.60,266,82,13,2,8,21,2,1,42,2,0,4,6.55,7.03,6.81,6.74,5.29,1.83,0.31,190,0.390,52.2,5.0,41.8,46.8,1.0,1.1,8.5,8.5,25.0,20.5,16.0,21.0,17.5,58.0,42.0,50,41,32,42,35,98,71,22,15,14,15,16,38,30,0.440,0.366,0.438,0.357,0.457,0.388,0.423
반즈,11,11,0,0,0,0,3,2,0,0,63.1,25,25,24.30,264,61,8,1,7,20,3,0,79,2,0,2,3.55,3.55,3.45,3.28,3.52,1.28,2.55,153,0.353,52.5,6.8,35.8,42.6,4.9,1.2,10.1,8.2,29.2,22.4,16.1,15.5,16.8,65.2,34.8,47,36,26,25,27,88,47,25,7,13,4,12,34,14,0.532,0.194,0.500,0.160,0.444,0.386,0.298
황동하,11,8,3,3,0,0,2,3,0,0,43.0,22,27,26.85,192,49,9,0,8,15,3,0,29,3,0,3,4.60,5.65,5.62,5.74,6.03,1.49,0.72,136,0.302,47.6,4.1,46.2,50.3,2.1,0.9,11.0,6.1,18.6,21.4,18.6,17.2,24.1,61.9,38.1,27,31,27,25,35,73,45,10,7,6,6,20,29,14,0.370,0.226,0.222,0.240,0.571,0.397,0.311
박진,11,0,11,3,0,0,0,2,0,0,11.2,6,6,5.15,51,16,3,0,1,3,0,0,5,0,0,0,4.63,4.63,3.97,3.66,4.95,1.63,0.30,41,0.366,46.5,4.7,48.8,53.5,0.0,0.9,4.3,18.8,18.6,18.6,23.3,23.3,16.3,72.7,27.3,8,8,10,10,7,24,9,3,3,5,2,3,10,1,0.375,0.375,0.500,0.200,0.429,0.417,0.111
오석주,11,0,11,6,0,0,1,1,0,0,12.0,12,12,10.80,59,17,4,1,0,7,1,1,12,1,0,1,9.00,9.00,8.10,8.28,3.77,2.00,-0.05,38,0.447,46.2,7.7,46.2,53.8,0.0,0.9,0.0,11.8,20.5,25.6,23.1,20.5,10.3,66.7,33.3,8,10,9,8,4,20,10,4,5,5,3,0,7,5,0.500,0.500,0.556,0.375,0.000,0.350,0.500
벤자민,11,11,0,0,0,0,5,4,0,0,58.2,29,31,29.15,238,44,10,2,9,18,2,0,59,4,0,0,4.45,4.76,4.47,4.39,4.57,1.06,1.59,148,0.237,47.8,4.4,43.4,47.8,4.4,1.0,11.8,9.1,24.5,25.8,17.6,15.7,16.4,64.1,35.9,39,41,28,25,26,84,47,15,8,10,3,8,24,10,0.385,0.195,0.357,0.120,0.308,0.286,0.213
육청명,11,9,2,1,0,0,1,4,0,0,40.2,23,27,24.95,190,47,11,1,5,19,6,2,19,6,0,3,5.09,5.98,5.52,5.61,6.33,1.62,0.62,139,0.302,41.8,5.5,49.3,54.8,3.4,0.8,6.3,2.1,24.0,16.4,24.7,19.9,15.1,61.8,38.2,35,24,36,29,22,68,42,13,2,16,11,5,26,5,0.371,0.083,0.444,0.379,0.227,0.382,0.119
김동주,11,7,4,2,0,0,1,1,0,0,39.2,26,33,30.80,194,50,9,2,2,18,4,0,29,3,1,6,5.90,7.49,6.99,7.28,4.69,1.71,-0.05,140,0.343,54.5,4.9,37.8,42.7,2.8,1.3,3.3,10.0,16.1,23.8,13.3,20.3,26.6,63.7,36.3,23,34,19,29,38,79,45,9,7,10,12,12,28,12,0.391,0.206,0.526,0.414,0.316,0.354,0.267
하영민,11,11,0,0,0,0,4,3,0,0,52.1,29,32,32.00,241,64,11,2,4,20,3,0,38,3,0,5,4.99,5.50,5.50,5.66,4.66,1.61,0.85,175,0.343,43.9,5.0,45.0,50.0,6.1,0.9,4.4,9.4,20.1,15.6,14.0,25.1,25.1,61.9,38.1,36,28,25,45,45,96,59,13,10,8,13,20,40,16,0.361,0.357,0.320,0.289,0.444,0.417,0.271
원상현,11,10,1,0,0,0,2,5,0,0,43.2,39,41,37.75,215,72,13,2,5,20,2,0,36,0,1,5,8.04,8.45,7.78,7.89,5.06,2.11,-0.08,151,0.444,50.3,1.9,40.8,42.7,7.0,1.2,7.5,4.2,25.0,16.7,19.9,15.4,23.1,61.6,38.4,39,26,31,24,36,77,48,20,8,18,9,17,30,24,0.513,0.308,0.581,0.375,0.472,0.390,0.500
산체스,11,11,0,0,0,0,2,3,0,0,53.1,25,28,25.80,245,60,9,1,2,21,10,1,56,4,1,2,4.22,4.73,4.35,4.37,3.82,1.52,1.52,155,0.374,52.5,7.0,39.2,46.2,1.3,1.1,2.7,5.0,20.0,21.3,18.1,20.0,20.6,53.9,46.1,31,33,28,31,32,69,59,17,13,10,4,16,27,23,0.548,0.394,0.357,0.129,0.500,0.391,0.390
김기중,11,2,9,4,0,0,2,0,0,0,21.2,8,8,8.00,96,23,2,0,1,7,3,0,15,0,0,0,3.32,3.32,3.32,3.29,4.45,1.38,0.72,70,0.314,50.7,4.2,40.8,45.1,4.2,1.1,3.1,13.0,19.7,22.5,11.3,23.9,22.5,58.7,41.3,14,16,8,17,16,37,26,3,9,3,3,5,14,6,0.214,0.563,0.375,0.176,0.313,0.378,0.231
양현,11,0,11,2,0,0,0,1,0,1,8.0,7,7,6.85,41,15,2,0,2,3,1,0,7,0,0,0,7.88,7.88,7.71,7.47,6.54,2.25,-0.07,27,0.482,30.0,10.0,56.7,66.7,3.3,0.5,10.0,13.3,23.3,16.7,23.3,26.7,10.0,60.9,39.1,7,5,7,8,3,14,9,2,4,3,5,1,8,4,0.286,0.800,0.429,0.625,0.333,0.571,0.444
한승주,10,0,10,5,0,0,0,1,0,0,11.2,16,19,17.45,65,23,4,1,1,6,2,0,7,2,0,0,12.34,14.66,13.46,13.26,5.85,2.49,-0.27,48,0.458,46.0,4.0,50.0,54.0,0.0,0.9,3.7,8.7,16.3,24.5,24.5,16.3,18.4,59.5,40.5,8,12,12,8,9,22,15,4,4,5,5,4,10,7,0.500,0.333,0.417,0.625,0.444,0.455,0.467
최원준,10,10,0,0,0,0,4,4,0,0,45.2,35,35,32.05,209,55,13,2,9,16,5,0,31,1,0,0,6.90,6.90,6.32,6.52,6.27,1.55,0.27,148,0.311,32.5,4.5,58.0,62.4,5.1,0.5,9.2,5.5,17.8,21.7,17.2,20.4,22.9,59.2,40.8,28,34,27,32,36,77,53,10,5,11,11,18,31,13,0.357,0.147,0.407,0.344,0.500,0.403,0.245
최준호,10,9,1,0,0,0,2,2,0,0,45.0,21,24,24.15,199,47,6,2,7,18,2,0,35,2,0,2,4.20,4.80,4.83,4.97,5.49,1.44,0.97,137,0.292,36.8,7.6,52.1,59.7,3.5,0.6,8.1,4.3,18.1,22.9,18.1,22.9,18.1,59.3,40.7,26,33,26,33,26,70,48,8,9,9,9,12,26,12,0.308,0.273,0.346,0.273,0.462,0.371,0.250
이기순,10,2,8,2,0,0,1,1,0,0,19.2,8,10,9.15,94,12,1,0,2,23,1,0,24,0,0,1,3.66,4.58,4.19,4.12,6.14,1.78,0.39,43,0.233,34.8,6.5,52.2,58.7,6.5,0.6,7.4,0.0,21.7,23.9,13.0,10.9,30.4,60.0,40.0,10,11,6,5,14,24,16,4,3,2,0,3,7,3,0.400,0.273,0.333,0.000,0.214,0.292,0.188
윤석원,10,0,10,3,0,0,0,0,0,0,15.0,21,23,23.90,77,29,11,0,3,6,1,0,1,2,1,3,12.60,13.80,14.34,14.51,7.86,2.33,-0.31,65,0.400,32.9,4.3,55.7,60.0,7.1,0.5,7.1,3.4,24.6,17.4,18.8,21.7,17.4,50.0,50.0,17,12,13,15,12,28,28,6,6,6,5,6,8,15,0.353,0.500,0.462,0.333,0.500,0.286,0.536
이종준,10,0,10,5,0,0,0,0,0,0,9.1,4,4,4.35,47,13,3,0,1,6,0,0,13,0,0,0,3.86,3.86,4.19,4.29,3.99,2.04,0.13,27,0.444,60.7,0.0,32.1,32.1,7.1,1.9,11.1,0.0,32.1,14.3,21.4,10.7,21.4,77.3,22.7,9,4,6,3,6,17,5,5,0,4,1,3,7,2,0.556,0.000,0.667,0.333,0.500,0.412,0.400
전사민,10,0,10,6,0,0,0,0,0,0,14.0,8,8,8.70,69,21,2,0,0,6,1,0,11,0,1,1,5.14,5.14,5.59,5.55,3.79,1.93,0.08,51,0.412,58.8,3.9,33.3,37.3,3.9,1.6,0.0,19.0,19.6,21.6,15.7,25.5,17.6,60.5,39.5,10,11,8,13,9,26,17,3,3,4,5,6,10,7,0.300,0.273,0.500,0.385,0.667,0.385,0.412
진해수,10,0,10,0,0,0,0,0,0,1,6.0,2,2,1.80,24,4,1,0,0,2,1,1,4,0,0,0,3.00,3.00,2.70,2.55,4.08,1.00,0.27,17,0.235,70.6,5.9,17.6,23.5,5.9,3.0,0.0,0.0,11.8,11.8,23.5,23.5,29.4,69.2,30.8,2,2,4,4,5,9,4,0,0,1,0,3,3,0,0.000,0.000,0.250,0.000,0.600,0.333,0.000
이태양,10,1,9,3,0,0,0,2,0,0,9.1,12,13,14.20,48,17,3,0,4,2,0,0,2,1,0,0,11.57,12.54,13.69,14.03,9.43,2.04,-0.31,40,0.325,43.2,4.5,47.7,52.3,4.5,0.8,17.4,5.9,31.8,13.6,13.6,20.5,20.5,73.7,26.3,14,6,6,9,9,28,10,8,2,3,2,2,12,2,0.571,0.333,0.500,0.222,0.222,0.429,0.200
서의태,10,0,10,2,0,0,1,0,0,0,7.2,8,8,6.45,32,5,1,0,1,6,0,0,7,0,0,1,9.39,9.39,7.57,7.70,5.90,1.43,0.01,18,0.222,68.4,0.0,26.3,26.3,5.3,2.6,20.0,0.0,26.3,15.8,21.1,15.8,21.1,53.3,46.7,5,3,4,3,4,8,7,1,1,0,0,3,3,2,0.200,0.333,0.000,0.000,0.750,0.375,0.286
이승현,10,10,0,0,0,0,4,3,0,0,51.2,20,23,20.90,226,46,8,1,3,23,4,0,45,3,0,2,3.48,4.01,3.64,3.49,4.33,1.34,1.49,149,0.289,51.3,5.8,38.3,44.2,4.5,1.2,4.4,6.5,25.3,19.5,19.5,20.1,15.6,59.7,40.3,39,30,30,31,24,74,50,11,7,16,7,5,22,8,0.282,0.233,0.533,0.226,0.208,0.297,0.160
윤중현,10,0,10,3,0,0,0,0,0,0,9.1,12,13,15.25,53,18,2,1,4,7,3,1,4,1,0,0,11.57,12.54,14.71,14.88,11.22,2.68,-0.27,35,0.400,38.5,2.6,48.7,51.3,10.3,0.8,20.0,0.0,15.8,15.8,23.7,28.9,15.8,44.8,55.2,6,6,9,11,6,13,16,4,2,3,6,3,7,8,0.667,0.333,0.333,0.545,0.500,0.538,0.500
이승현,10,10,0,0,0,0,4,3,0,0,51.2,20,23,20.90,226,46,8,1,3,23,4,0,45,3,0,2,3.48,4.01,3.64,3.49,4.33,1.34,1.49,149,0.289,51.3,5.8,38.3,44.2,4.5,1.2,4.4,6.5,19.6,18.5,17.4,15.2,29.3,51.9,48.1,18,17,16,14,27,40,37,5,4,7,3,13,12,13,0.278,0.235,0.438,0.214,0.481,0.300,0.351
이승현,10,10,0,0,0,0,4,3,0,0,51.2,20,23,20.90,226,46,8,1,3,23,4,0,45,3,0,2,3.48,4.01,3.64,3.49,4.33,1.34,1.49,91,0.319,37.2,3.2,55.3,58.5,4.3,0.6,5.5,3.1,25.3,19.5,19.5,20.1,15.6,59.7,40.3,39,30,30,31,24,74,50,11,7,16,7,5,22,8,0.282,0.233,0.533,0.226,0.208,0.297,0.160
이승현,10,10,0,0,0,0,4,3,0,0,51.2,20,23,20.90,226,46,8,1,3,23,4,0,45,3,0,2,3.48,4.01,3.64,3.49,4.33,1.34,1.49,91,0.319,37.2,3.2,55.3,58.5,4.3,0.6,5.5,3.1,19.6,18.5,17.4,15.2,29.3,51.9,48.1,18,17,16,14,27,40,37,5,4,7,3,13,12,13,0.278,0.235,0.438,0.214,0.481,0.300,0.351
알칸타라,9,9,0,0,0,0,1,2,0,0,51.2,23,24,23.65,214,46,5,3,7,16,2,0,22,2,0,0,4.01,4.18,4.12,4.37,5.83,1.20,1.34,165,0.236,47.1,4.6,45.4,50.0,2.9,0.9,8.0,10.9,20.1,24.1,17.2,19.5,19.0,64.6,35.4,35,42,30,34,33,93,51,9,5,9,8,15,29,8,0.257,0.119,0.300,0.235,0.455,0.312,0.157
장지수,9,0,9,3,0,0,0,0,0,0,9.2,15,16,12.75,53,15,4,1,0,9,1,2,7,1,0,1,13.97,14.90,11.87,11.48,4.96,2.48,-0.13,36,0.417,38.9,8.3,50.0,58.3,2.8,0.7,0.0,6.7,20.0,14.3,17.1,25.7,22.9,48.3,51.7,7,5,6,9,8,14,15,3,2,2,5,3,5,8,0.429,0.400,0.333,0.556,0.375,0.357,0.533
서진용,9,0,9,1,0,0,0,1,0,0,8.1,5,5,5.30,36,6,1,0,0,8,0,1,4,1,0,0,5.40,5.40,5.72,5.62,5.61,1.68,0.05,24,0.250,62.5,4.2,29.2,33.3,4.2,1.9,0.0,33.3,21.7,21.7,13.0,17.4,26.1,50.0,50.0,5,5,3,4,6,10,10,1,0,1,1,3,2,3,0.200,0.000,0.333,0.250,0.500,0.200,0.300
페냐,9,9,0,0,0,0,3,5,0,0,37.1,26,28,27.30,171,41,6,0,6,20,0,0,29,1,0,1,6.27,6.75,6.58,6.48,5.83,1.63,0.32,116,0.302,37.7,3.3,54.1,57.4,4.9,0.7,8.6,4.9,20.5,21.3,11.5,19.7,27.0,62.0,38.0,25,26,14,24,33,67,41,9,6,6,9,11,23,12,0.360,0.231,0.429,0.375,0.333,0.343,0.293
김연주,9,0,9,6,0,0,0,0,0,0,7.1,8,9,9.00,38,9,1,0,2,7,0,0,3,0,0,1,9.82,11.05,11.05,11.20,9.38,2.18,-0.07,26,0.269,32.1,3.6,60.7,64.3,3.6,0.5,11.1,0.0,21.4,32.1,10.7,17.9,17.9,52.0,48.0,6,9,3,5,5,13,12,3,1,1,1,3,5,3,0.500,0.111,0.333,0.200,0.600,0.385,0.250
이재학,8,8,0,0,0,0,2,5,0,0,41.2,23,26,25.65,183,39,8,3,6,17,3,0,38,2,0,0,4.97,5.62,5.54,5.62,5.12,1.34,0.50,117,0.282,40.0,5.6,48.0,53.6,6.4,0.7,9.0,10.3,23.2,17.6,20.8,15.2,23.2,55.6,44.4,29,22,26,19,29,55,44,9,7,6,8,9,21,12,0.310,0.318,0.231,0.421,0.310,0.382,0.273
박종훈,8,7,1,1,0,0,1,3,0,0,27.2,23,24,22.10,132,31,7,0,6,17,6,0,26,0,0,1,7.48,7.81,7.19,7.03,7.01,1.73,0.11,77,0.325,53.0,6.0,39.8,45.8,1.2,1.2,15.8,3.2,21.7,22.9,19.3,8.4,27.7,59.7,40.3,18,19,16,7,23,40,27,10,6,5,2,8,18,8,0.556,0.316,0.313,0.286,0.348,0.450,0.296
한차현,8,4,4,2,0,0,0,3,0,0,17.2,18,19,17.05,89,24,3,1,4,13,0,0,15,1,0,2,9.17,9.68,8.69,8.68,7.05,2.09,-0.19,57,0.351,42.6,4.9,47.5,52.5,4.9,0.8,12.5,0.0,25.0,21.7,16.7,18.3,18.3,72.0,28.0,15,13,10,11,11,36,14,7,3,2,6,6,19,3,0.467,0.231,0.200,0.545,0.545,0.528,0.214
김대유,8,0,8,4,0,0,0,0,0,0,6.0,8,8,7.00,32,10,2,0,2,4,0,0,4,0,0,0,12.00,12.00,10.50,10.99,8.57,2.33,-0.03,22,0.364,25.0,4.2,66.7,70.8,4.2,0.4,11.8,10.0,30.4,0.0,17.4,30.4,21.7,60.0,40.0,7,0,4,7,5,12,8,5,0,1,1,3,7,2,0.714,,0.250,0.143,0.600,0.583,0.250
크로우,8,8,0,0,0,0,5,1,0,0,40.1,16,19,18.00,172,41,7,0,2,12,1,1,43,1,0,0,3.57,4.24,4.02,4.29,3.05,1.31,1.13,114,0.342,55.2,3.4,37.1,40.5,4.3,1.4,4.3,7.3,17.2,14.7,19.8,23.3,25.0,60.2,39.8,20,17,23,27,29,56,37,11,2,8,5,15,21,12,0.550,0.118,0.348,0.185,0.517,0.375,0.324
정지헌,8,0,8,1,0,0,0,0,0,1,7.0,8,8,7.50,37,11,1,0,0,6,1,0,3,0,0,0,10.29,10.29,9.64,9.79,6.23,2.43,-0.10,27,0.407,37.0,0.0,55.6,55.6,7.4,0.7,0.0,0.0,22.2,25.9,14.8,25.9,11.1,52.2,47.8,6,7,4,7,3,12,11,3,2,1,3,2,3,7,0.500,0.286,0.250,0.429,0.667,0.250,0.636
문용익,8,0,8,1,0,0,0,0,0,0,9.2,15,16,16.00,56,13,2,0,2,12,2,0,9,1,0,2,13.97,14.90,14.90,15.36,8.83,2.59,-0.20,30,0.367,51.5,6.1,42.4,48.5,0.0,1.1,12.5,7.7,24.2,21.2,15.2,21.2,18.2,64.3,35.7,8,7,5,7,6,18,10,2,3,2,2,4,7,4,0.250,0.429,0.400,0.286,0.667,0.389,0.400
이인복,7,5,2,1,0,0,0,2,0,0,30.0,28,28,29.05,143,45,12,0,8,11,2,0,19,1,0,4,8.40,8.40,8.72,8.30,7.13,1.87,0.02,102,0.363,49.5,1.8,47.7,49.5,0.9,1.0,14.5,4.4,30.6,16.2,12.6,18.9,21.6,58.8,41.2,34,18,14,21,24,57,40,16,6,6,3,14,24,15,0.471,0.333,0.429,0.143,0.583,0.421,0.375
엘리아스,7,7,0,0,0,0,2,3,0,0,40.0,21,24,24.00,176,44,5,0,5,10,3,0,34,4,0,2,4.73,5.40,5.40,5.21,4.57,1.35,0.81,123,0.317,45.3,3.9,50.0,53.9,0.8,0.8,7.2,6.8,21.1,18.8,15.6,25.8,18.8,52.8,47.2,27,24,20,33,24,57,51,13,9,7,8,7,22,15,0.481,0.375,0.350,0.242,0.292,0.386,0.294
김동혁,7,0,7,4,0,0,0,2,0,0,9.2,8,8,9.20,47,11,2,0,3,8,0,0,5,0,0,0,7.45,7.45,8.57,8.64,9.17,1.97,-0.13,31,0.258,26.5,11.8,50.0,61.8,11.8,0.4,14.3,9.1,14.7,26.5,23.5,8.8,26.5,61.5,38.5,5,9,8,3,9,16,10,2,2,4,1,2,7,0,0.400,0.222,0.500,0.333,0.222,0.438,0.000
윤호솔,7,0,7,2,0,0,0,0,0,0,4.1,2,2,1.65,24,4,0,0,0,8,0,0,5,0,0,0,4.15,4.15,3.43,3.63,7.04,2.77,0.10,11,0.364,27.3,0.0,72.7,72.7,0.0,0.4,0.0,0.0,27.3,45.5,0.0,18.2,9.1,45.5,54.5,3,5,0,2,1,5,6,1,1,0,1,1,3,1,0.333,0.200,,0.500,1.000,0.600,0.167
박진형,6,0,6,0,0,0,0,0,0,0,5.2,3,3,2.65,22,6,1,0,0,1,1,0,3,0,0,0,4.76,4.76,4.21,4.11,3.97,1.24,0.12,16,0.375,41.2,5.9,52.9,58.8,0.0,0.7,0.0,16.7,17.6,23.5,17.6,29.4,11.8,71.4,28.6,3,4,3,5,2,10,4,2,1,1,1,1,5,0,0.667,0.250,0.333,0.200,0.500,0.500,0.000
이선우,6,1,5,3,0,0,0,0,0,0,10.0,6,6,5.35,45,10,0,0,0,4,2,0,4,0,0,0,5.40,5.40,4.82,4.98,5.06,1.40,0.14,35,0.286,51.4,2.9,45.7,48.6,0.0,1.1,0.0,10.0,17.1,25.7,14.3,17.1,25.7,50.0,50.0,6,9,5,6,9,15,15,1,2,3,2,2,4,3,0.167,0.222,0.600,0.333,0.222,0.267,0.200
손현기,6,2,4,2,0,0,0,1,0,0,14.1,12,14,13.30,69,17,3,1,2,8,3,0,9,0,0,3,7.53,8.79,8.35,8.64,6.67,1.74,-0.07,47,0.319,40.8,6.1,46.9,53.1,6.1,0.8,7.7,0.0,20.4,26.5,12.2,24.5,16.3,51.2,48.8,10,13,6,12,8,22,21,4,2,3,4,4,5,9,0.400,0.154,0.500,0.333,0.500,0.227,0.429
김민규,6,1,5,2,0,0,0,0,0,0,9.0,4,6,3.95,40,7,3,0,1,7,0,0,5,1,0,1,4.00,6.00,3.95,3.91,6.55,1.56,0.30,26,0.231,32.1,14.3,50.0,64.3,3.6,0.5,5.6,0.0,25.9,14.8,18.5,22.2,18.5,54.5,45.5,7,4,5,6,5,12,10,4,2,1,0,0,5,1,0.571,0.500,0.200,0.000,0.000,0.417,0.100
이건욱,6,2,4,1,0,0,1,2,0,0,13.1,15,16,16.15,71,22,3,0,3,8,2,0,11,2,0,3,10.13,10.80,10.90,11.27,7.14,2.25,-0.30,47,0.404,32.0,4.0,58.0,62.0,6.0,0.5,9.7,4.5,30.0,18.0,14.0,12.0,26.0,72.1,27.9,15,9,7,6,13,31,12,9,2,2,3,6,18,2,0.600,0.222,0.286,0.500,0.462,0.581,0.167
더거,6,6,0,0,0,0,0,3,0,0,22.2,32,33,33.00,116,37,7,3,2,10,3,0,18,1,0,0,12.71,13.10,13.10,12.74,5.04,2.07,-0.54,83,0.422,50.6,3.5,42.4,45.9,3.5,1.1,5.1,10.8,28.9,14.5,16.9,18.1,21.7,78.3,21.7,24,12,14,15,18,54,15,12,5,6,7,7,26,5,0.500,0.417,0.429,0.467,0.389,0.481,0.333
김서현,6,0,6,0,0,0,0,0,0,0,7.0,2,3,4.55,37,5,1,0,0,9,2,0,4,1,0,0,2.57,3.86,5.85,5.91,7.64,2.00,0.05,22,0.227,40.9,9.1,45.5,54.5,4.5,0.8,0.0,0.0,22.7,18.2,9.1,18.2,31.8,55.0,45.0,5,4,2,4,7,11,9,1,1,1,0,2,2,2,0.200,0.250,0.500,0.000,0.286,0.182,0.222
조이현,6,0,6,2,0,0,0,0,0,0,6.1,9,9,9.15,34,13,1,0,2,2,0,0,4,0,0,0,12.79,12.79,13.00,12.55,7.36,2.37,-0.17,26,0.423,50.0,3.6,42.9,46.4,3.6,1.1,15.4,15.4,17.9,21.4,14.3,17.9,28.6,79.2,20.8,5,6,4,5,8,19,5,3,2,3,2,3,7,3,0.600,0.333,0.750,0.400,0.375,0.368,0.600
이채호,6,0,6,1,0,0,0,0,0,0,3.2,4,4,2.80,22,7,0,0,0,3,1,0,2,0,0,0,9.82,9.82,6.87,7.24,6.22,2.73,-0.02,16,0.438,50.0,6.3,43.8,50.0,0.0,1.0,0.0,28.6,18.8,18.8,18.8,25.0,18.8,53.8,46.2,3,3,3,4,3,7,6,1,2,2,2,0,4,1,0.333,0.667,0.667,0.500,0.000,0.571,0.167
정우영,6,0,6,1,0,0,0,0,0,0,5.2,1,1,1.85,28,8,0,0,0,2,3,0,6,0,0,0,1.59,1.59,2.94,3.16,4.29,1.76,0.16,17,0.471,76.5,5.9,17.6,23.5,0.0,3.3,0.0,12.5,29.4,23.5,11.8,23.5,11.8,73.3,26.7,5,4,2,4,2,11,4,4,0,2,1,1,4,2,0.800,0.000,1.000,0.250,0.500,0.364,0.500
